,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1988-01,, 
1,1988-02,, 
2,1988-03,, 
3,1988-04,, 
4,1988-05,, 
5,1988-06,, 
6,1988-07,14.05,U
7,1988-08,10.3,U
8,1988-09,, 
9,1988-10,, 
10,1988-11,, 
11,1988-12,, 
12,1989-01,, 
13,1989-02,, 
14,1989-03,, 
15,1989-04,, 
16,1989-05,, 
17,1989-06,, 
18,1989-07,14.64,U
19,1989-08,13.43,U
20,1989-09,4.47,U
21,1989-10,-8.93,U
22,1989-11,, 
23,1989-12,, 
24,1990-01,, 
25,1990-02,, 
26,1990-03,, 
27,1990-04,, 
28,1990-05,, 
29,1990-06,12.1,U
30,1990-07,15.32,U
31,1990-08,11.14,U
32,1990-09,2.2,U
33,1990-10,-8.96,U
34,1990-11,, 
35,1990-12,-23.81,U
36,1991-01,, 
37,1991-02,, 
38,1991-03,, 
39,1991-04,, 
40,1991-05,, 
41,1991-06,11.59,U
42,1991-07,11.49,U
43,1991-08,7.79,U
44,1991-09,3.82,U
45,1991-10,, 
46,1991-11,-21.38,U
47,1991-12,, 
48,1992-01,, 
49,1992-02,, 
50,1992-03,, 
51,1992-04,, 
52,1992-05,, 
53,1992-06,13.28,U
54,1992-07,13.71,U
55,1992-08,10.27,U
56,1992-09,-3.77,U
57,1992-10,-9.26,U
58,1992-11,, 
59,1992-12,, 
60,1993-01,, 
61,1993-02,, 
62,1993-03,, 
63,1993-04,, 
64,1993-05,, 
65,1993-06,13.26,U
66,1993-07,15.27,U
67,1993-08,10.13,U
68,1993-09,2.19,U
69,1993-10,, 
70,1993-11,, 
71,1993-12,, 
72,1994-01,, 
73,1994-02,, 
74,1994-03,, 
75,1994-04,, 
76,1994-05,, 
77,1994-06,11.1,U
78,1994-07,16.52,U
79,1994-08,12.68,U
80,1994-09,0.43,U
81,1994-10,-7.33,U
82,1994-11,-19.97,U
83,1994-12,, 
84,1995-01,-21.17,U
85,1995-02,-18.86,U
86,1995-03,-18.64,U
