,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1980-01,-7.79,k
1,1980-02,-9.08,k
2,1980-03,-5.36,k
3,1980-04,4.73,k
4,1980-05,7.91,k
5,1980-06,16.38,k
6,1980-07,17.11,k
7,1980-08,14.94,k
8,1980-09,10.83,k
9,1980-10,4.85,k
10,1980-11,-2.68,k
11,1980-12,-3.34,k
12,2000-01,-2.63,k
13,2000-02,-2.49,k
14,2000-03,-2.07,k
15,2000-04,5.45,k
16,2000-05,10.07,k
17,2000-06,13.61,k
18,2000-07,16.41,k
19,2000-08,14.38,k
20,2000-09,9.95,k
21,2000-10,8.6,k
22,2000-11,4.5,k
23,2000-12,0.52,k
24,2003-01,-10.04,k
25,2003-02,-6.27,k
26,2003-03,-0.21,k
27,2003-04,2.3,k
28,2003-05,9.45,k
29,2003-06,13.45,k
30,2003-07,19.93,k
31,2003-08,15.56,k
32,2003-09,10.91,k
33,2003-10,2.88,k
34,2003-11,1.85,k
35,2003-12,-1.23,k
36,2008-01,-0.5,k
37,2008-02,0.13,k
38,2008-03,-0.4,k
39,2008-04,5.6,k
40,2008-05,8.99,k
41,2008-06,13.79,k
42,2008-07,16.13,k
43,2008-08,14.45,k
44,2008-09,9.1,k
45,2008-10,7.3,k
46,2008-11,2.36,E
47,2008-12,0.73,E
48,2009-01,-3.94,E
49,2009-02,-5.03,E
50,2009-03,-1.38,E
51,2009-04,4.66,E
52,2009-05,10.87,E
53,2009-06,13.64,E
54,2009-07,16.6,E
55,2009-08,15.94,E
56,2009-09,12.69,E
57,2009-10,3.4,E
58,2009-11,2.68,E
59,2009-12,-5.28,E
60,2010-01,-10.88,E
61,2010-02,-8.32,E
62,2010-03,-2.43,E
63,2010-04,4.4,E
64,2010-05,11.6,E
65,2010-06,12.99,E
66,2010-07,20.86,E
67,2010-08,17.01,E
68,2010-09,11.08,E
69,2010-10,5.16,E
70,2010-11,-2.64,E
71,2010-12,-10.66,E
72,2011-01,-5.39,E
73,2011-02,-9.73,E
74,2011-03,-1.34,E
75,2011-04,4.87,E
76,2011-05,10.22,E
77,2011-06,16.79,E
78,2011-07,19.68,E
79,2011-08,16.55,E
80,2011-09,13.07,E
81,2011-10,7.18,E
82,2011-11,4.62,E
83,2011-12,1.64,E
84,2012-01,-5.38,E
85,2012-02,-7.06,E
86,2012-03,0.67,E
87,2012-04,3.73,E
88,2012-05,9.8,E
89,2012-06,12.73,E
90,2012-07,17.29,E
91,2012-08,15.49,E
92,2012-09,11.16,E
93,2012-10,5.1,E
94,2012-11,3.35,E
95,2012-12,-7.61,E
96,2013-01,-4.38,E
97,2013-02,-1.97,E
98,2013-03,-6.06,E
99,2013-04,3.11,E
100,2013-05,13.85,E
101,2013-06,16.58,E
102,2013-07,16.67,E
103,2013-08,16.07,E
104,2013-09,12.04,E
105,2013-10,6.18,E
106,2013-11,3.65,E
107,2013-12,1.45,E
108,2014-01,-7.48,E
109,2014-02,0.53,E
110,2014-03,2.3,E
111,2014-04,4.9,E
112,2014-05,10.75,E
113,2014-06,13.11,E
114,2014-07,19.95,E
115,2014-08,17.46,E
116,2014-09,11.94,E
117,2014-10,6.51,E
118,2014-11,2.22,E
119,2014-12,-0.63,E
120,2015-01,-1.78,E
121,2015-02,0.25,E
122,2015-03,1.99,E
123,2015-04,5.0,E
124,2015-05,9.64,E
125,2015-06,12.34,E
126,2015-07,15.61,E
127,2015-08,16.25,E
128,2015-09,12.52,E
129,2015-10,5.55,E
130,2015-11,4.38,E
131,2015-12,2.37,E
132,2016-01,-9.18,E
133,2016-02,-1.06,E
134,2016-03,0.87,E
135,2016-04,4.59,E
136,2016-05,12.19,E
137,2016-06,14.86,E
138,2016-07,17.33,E
139,2016-08,15.37,E
140,2016-09,12.37,E
141,2016-10,4.44,E
142,2016-11,-0.45,E
143,2016-12,-0.75,E
144,2017-01,-2.07,E
145,2017-02,-3.0,E
146,2017-03,0.91,E
147,2017-04,2.4,E
148,2017-05,8.18,E
149,2017-06,13.11,E
150,2017-07,15.65,E
151,2017-08,15.14,E
152,2017-09,11.3,E
153,2017-10,4.89,E
154,2017-11,2.62,E
155,2017-12,0.26,E
156,2018-01,-2.75,E
157,2018-02,-7.54,E
158,2018-03,-4.51,E
159,2018-04,4.49,E
160,2018-05,14.13,E
161,2018-06,13.82,E
162,2018-07,21.19,E
163,2018-08,17.77,E
164,2018-09,13.24,E
165,2018-10,6.46,E
166,2018-11,2.71,E
167,2018-12,-1.67,E
168,2019-01,-5.69,E
169,2019-02,-1.15,E
170,2019-03,-0.24,E
171,2019-04,6.54,E
172,2019-05,9.92,E
173,2019-06,16.47,E
174,2019-07,16.84,E
175,2019-08,16.29,E
176,2019-09,11.09,E
177,2019-10,4.56,E
178,2019-11,1.03,E
179,2019-12,1.36,E
180,2020-01,2.35,E
181,2020-02,0.41,E
182,2020-03,1.37,E
183,2020-04,4.32,E
184,2020-05,8.1,E
185,2020-06,18.15,E
186,2020-07,15.48,E
187,2020-08,16.13,E
188,2020-09,12.8,E
189,2020-10,7.94,E
190,2020-11,5.16,E
191,2020-12,1.15,E
192,2021-01,-4.25,E
193,2021-02,-6.6,E
194,2021-03,0.4,E
195,2021-04,3.98,E
196,2021-05,9.82,E
197,2021-06,, 
198,2021-07,, 
199,2021-08,, 
200,2021-09,, 
201,2021-10,, 
202,2021-11,, 
203,2021-12,, 
